miRNA	gene	support type	label	split	hist	num_miRNA_disease	num_gene_disease
hsa-miR-148a	TMED7	TargetScan;miRDB;miRTarBase	1	train	[0.38026738473167043, 0.5742157974300831, 0.03968253968253968, 0.004558767951625095, 0.0012755102040816326]	126	336
hsa-miR-223	CDK6	miRTarBase	1	train	[0.39859228362877996, 0.5683140332583283, 0.029814499753032214, 0.002510839141649745, 0.000768344218209758]	274	266
hsa-miR-122	AACS	TarBase;miRTarBase	1	train	[0.3795454545454545, 0.5893939393939394, 0.026136363636363635, 0.003409090909090909, 0.0015151515151515152]	220	12
hsa-miR-29c	FGA	TarBase;miRDB;miRTarBase	1	train	[0.3263905466698496, 0.614406779661017, 0.05454762473143948, 0.0038195273334924802, 0.0008355216042014801]	142	118
hsa-miR-409	FGB	TarBase;TargetScan;miRTarBase	1	train	[0.30302351623740204, 0.6302351623740201, 0.05823068309070549, 0.005375139977603583, 0.003135498320268757]	47	95
hsa-miR-222	ICAM1	miRTarBase;miRWalk	1	train	[0.3421560571024519, 0.613134710570069, 0.04071511839012364, 0.0030768054732738357, 0.0009173084640816404]	142	737
hsa-miR-106a	HIF1A	TargetScan;miRDB;miRTarBase	1	train	[0.3547999148573861, 0.5990315027671349, 0.041645381013197105, 0.0035759897828863347, 0.0009472115793954874]	90	1044
hsa-miR-374a	CEBPB	TargetScan;miRDB;miRTarBase	1	train	[0.3747252747252747, 0.5694505494505494, 0.04593406593406593, 0.007142857142857143, 0.0027472527472527475]	50	182
hsa-miR-93	MAP3K2	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.35820327369623145, 0.5932622763608679, 0.038827559954320516, 0.008374571754853444, 0.0013323182337266844]	142	37
hsa-miR-597	RAB23	miRTarBase;miRWalk	1	train	[0.5162037037037037, 0.3912037037037037, 0.08101851851851852, 0.010416666666666666, 0.0011574074074074073]	6	144
hsa-miR-550a	HSP90AA1	miRTarBase;miRWalk	1	train	[0.2729270729270729, 0.6565434565434566, 0.06213786213786214, 0.007392607392607393, 0.000999000999000999]	11	455
hsa-miR-19a	AGO2	miRTarBase;miRWalk	1	train	[0.37126881720430105, 0.5781505376344086, 0.044774193548387096, 0.0046021505376344085, 0.0012043010752688173]	125	186
hsa-miR-141	MAPK9	miRTarBase;miRWalk	1	train	[0.3610586011342155, 0.5876496534341525, 0.044486452425960936, 0.004977945809703844, 0.0018273471959672338]	138	115
hsa-miR-144	MTOR	TarBase;miRDB;miRTarBase	1	train	[0.3651007174392936, 0.593501655629139, 0.03745171081677704, 0.002966335540838852, 0.0009795805739514349]	151	960
hsa-miR-187	MYB	miRTarBase	1	train	[0.3498381877022654, 0.5982740021574973, 0.04660194174757282, 0.0044228694714131605, 0.0008629989212513484]	45	206
hsa-miR-657	TENT5C	miRTarBase	1	train	[0.35714285714285715, 0.5952380952380952, 0.02976190476190476, 0.017857142857142856, 0.0]	8	21
hsa-miR-582	CXCL14	miRTarBase	1	train	[0.26761904761904765, 0.6468571428571429, 0.07485714285714286, 0.00780952380952381, 0.002857142857142857]	42	125
hsa-miR-133a	PRDM16	miRDB;miRTarBase;miRWalk	1	train	[0.4095918367346939, 0.5576530612244898, 0.029285714285714286, 0.0028231292517006804, 0.0006462585034013606]	147	200
hsa-miR-532	PDPN	TargetScan;miRTarBase;miRWalk	1	train	[0.33239182692307695, 0.6030048076923077, 0.05763221153846154, 0.005528846153846154, 0.0014423076923076924]	65	256
hsa-miR-32	SMAD3	miRTarBase	1	train	[0.3918062471706655, 0.5633318243549117, 0.03956541421457673, 0.0037120869171570845, 0.0015844273426889996]	47	470
hsa-miR-150	SP1	TargetScan;miRTarBase;miRWalk	1	train	[0.32710809281267683, 0.6245562586818953, 0.04311364922570356, 0.0036785512167515563, 0.0015434480629726809]	186	209
hsa-miR-140	TGFBR1	TarBase;TargetScan;miRTarBase	1	train	[0.3386735932049143, 0.6124488093432429, 0.04339830122857576, 0.004341726073107842, 0.0011375701501592599]	152	347
hsa-miR-4516	STAT3	miRTarBase;miRWalk	1	train	[0.3714724783459067, 0.5848002235261246, 0.03765018161497625, 0.0050991897177982675, 0.0009779267951941883]	12	1193
hsa-miR-27a	FSTL1	miRTarBase;miRWalk	1	train	[0.31283068783068785, 0.6253720238095238, 0.05398478835978836, 0.005911044973544974, 0.0019014550264550263]	189	128
hsa-miR-200c	MYLK	TargetScan;miRTarBase;miRWalk	1	train	[0.3280362853227175, 0.6250407883573713, 0.042746198525092996, 0.0033609606473928083, 0.0008157671474254388]	154	199
hsa-miR-34a	CXCL10	miRTarBase	1	train	[0.36478700793453084, 0.5951693176939508, 0.03625926887830009, 0.002893957141872804, 0.0008904483513454781]	299	631
hsa-miR-17	CLU	miRTarBase	1	train	[0.3326713739335099, 0.618742907577859, 0.043773378724835034, 0.003635523052998781, 0.0011768167107972932]	231	412
hsa-miR-181d	RAP1B	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.380475302889096, 0.576421248835042, 0.036346691519105315, 0.005358807082945014, 0.0013979496738117428]	37	116
hsa-miR-1468	DUSP1	miRTarBase	1	train	[0.5257009345794392, 0.4497663551401869, 0.018691588785046728, 0.0035046728971962616, 0.002336448598130841]	4	214
hsa-miR-130a	PDGFRA	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3772398156951657, 0.5764828494112485, 0.04117604037153514, 0.004095662985445769, 0.001005631536604988]	121	452
hsa-miR-485	PPARGC1A	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3391718426501035, 0.6073291925465838, 0.04691511387163561, 0.005134575569358178, 0.0014492753623188406]	69	350
hsa-miR-191	CDK6	TargetScan;miRTarBase;miRWalk	1	train	[0.3969454887218045, 0.5654605263157895, 0.03265977443609023, 0.003712406015037594, 0.0012218045112781955]	80	266
hsa-miR-4287	CD44	miRTarBase;miRWalk	1	train	[0.4430379746835443, 0.5428973277074542, 0.011954992967651195, 0.0007032348804500703, 0.0014064697609001407]	2	711
hsa-miR-140	MMD	TargetScan;miRTarBase	1	train	[0.34165154264972775, 0.599478221415608, 0.05308529945553539, 0.004650635208711434, 0.001134301270417423]	152	58
hsa-miR-20a	ETV1	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3198305336702839, 0.632599970269065, 0.042886873792180764, 0.00393934889252267, 0.0007432733759476735]	217	62
hsa-miR-425	SIAH2	TarBase;TargetScan;miRDB	1	train	[0.2878411910669975, 0.6194168734491315, 0.07971464019851117, 0.012096774193548387, 0.0009305210918114144]	62	52
hsa-miR-362	PTPN1	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.39755917159763315, 0.553069526627219, 0.041605029585798814, 0.005732248520710059, 0.0020340236686390532]	32	169
hsa-miR-195	MYB	TargetScan;miRTarBase;miRWalk	1	train	[0.33260913843438117, 0.6118202186163352, 0.04895104895104895, 0.005533301649806504, 0.0010862923484282708]	143	206
hsa-miR-181a	CDX2	TarBase;TargetScan;miRTarBase	1	train	[0.33652333946796054, 0.6204952317215995, 0.03771122636774302, 0.004316546762589928, 0.0009536556801070771]	215	278
hsa-miR-29a	DNMT3A	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.37483912483912485, 0.5836550836550837, 0.03712998712998713, 0.003577863577863578, 0.000797940797940798]	222	350
hsa-miR-27a	CCND1	miRTarBase;miRWalk	1	train	[0.3672721449205733, 0.5895744405639632, 0.03947003714174843, 0.003048949498309219, 0.0006344278754057567]	189	859
hsa-miR-146a	TXNIP	miRDB;miRTarBase	1	train	[0.30991636479863627, 0.6352679522693373, 0.05024770935435755, 0.0033826976347751973, 0.0011852759428936715]	361	208
hsa-miR-145	MSH3	miRTarBase;miRWalk	1	train	[0.3305668934240363, 0.6221768707482993, 0.04244897959183674, 0.003839758125472411, 0.0009674981103552532]	270	245
hsa-miR-663b	IGF2	miRTarBase;miRWalk	1	train	[0.4092414208308248, 0.549367850692354, 0.03597230583985551, 0.004063816977724262, 0.0013546056592414208]	11	604
hsa-miR-224	AP2M1	TarBase;TargetScan;miRTarBase	1	train	[0.44069128043990574, 0.5184603299293009, 0.029065200314218383, 0.009426551453260016, 0.002356637863315004]	67	19
hsa-miR-200c	KLHL20	TarBase	1	train	[0.22077922077922077, 0.7077922077922078, 0.06493506493506493, 0.0, 0.006493506493506494]	154	1
hsa-miR-126	KLF10	miRTarBase	1	train	[0.27871900826446283, 0.6555785123966942, 0.05950413223140496, 0.004683195592286501, 0.0015151515151515152]	242	60
hsa-miR-25	TGFBR2	miRTarBase;miRWalk	1	train	[0.3698483377414711, 0.5837657772272256, 0.04228464294084167, 0.003247514145100271, 0.0008537279453614115]	119	502
hsa-miR-19b-1	CCND1	miRTarBase	1	train	[0.33559106783786646, 0.6143507249444385, 0.04571912371679543, 0.0034924330616996507, 0.0008466504391999154]	11	859
hsa-miR-142	CALD1	miRDB;miRTarBase	1	train	[0.33480243161094225, 0.6197061803444782, 0.04148936170212766, 0.0032421479229989866, 0.0007598784194528875]	210	94
hsa-miR-335	SP1	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.34941045796308956, 0.5991541353383458, 0.044642857142857144, 0.004699248120300752, 0.0020933014354066986]	112	209
hsa-miR-17	TGFBR2	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.3482606371052586, 0.6081474965937117, 0.039625049585208946, 0.0032251944602542213, 0.0007416222555664787]	231	502
hsa-miR-19b	ESR1	TargetScan;miRDB;miRTarBase	1	train	[0.371002792074545, 0.5910855451273254, 0.034682275372556935, 0.002496047364348908, 0.0007333400612238032]	135	1101
hsa-miR-128	LGALS3	miRDB;miRTarBase;miRWalk	1	train	[0.345934855091049, 0.6021202017611353, 0.04626827391638882, 0.004240403522270668, 0.001436265709156194]	105	557
hsa-miR-153	CITED2	TargetScan;miRTarBase;miRWalk	1	train	[0.3635307781649245, 0.5886178861788618, 0.043089430894308944, 0.003716608594657375, 0.0010452961672473868]	82	105
hsa-miR-29a	LOXL2	TargetScan;miRTarBase;miRWalk	1	train	[0.3223895035975573, 0.6254610315013, 0.04619384485156297, 0.0044742729306487695, 0.0014813471189310116]	222	149
hsa-let-7e	EZH2	miRTarBase	1	train	[0.38704441041347626, 0.5685758039816233, 0.039816232771822356, 0.0036447166921898927, 0.0009188361408882082]	50	653
hsa-miR-185	HMGA1	miRDB;miRTarBase;miRWalk	1	train	[0.3062965406730135, 0.6339428786879064, 0.05236120275238006, 0.005655575454802526, 0.0017438024318974456]	103	206
hsa-miR-137	CTBP1	TargetScan;miRTarBase;miRWalk	1	train	[0.3962148962148962, 0.5688755688755689, 0.031579531579531576, 0.0023865023865023865, 0.0009435009435009435]	117	154
hsa-miR-130a	HOTAIR	miRTarBase	1	train	[0.3072684890866709, 0.6356925902380448, 0.05036377763650491, 0.004944550399095853, 0.0017305926396835487]	121	234
hsa-miR-149	TIMP2	miRDB;miRTarBase;miRWalk	1	train	[0.32437996274875014, 0.6206989510832271, 0.048794235859229484, 0.004582884030977355, 0.0015439662778159004]	101	404
hsa-miR-140	FGF9	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.3507481940144479, 0.6046611627106984, 0.03865669074647403, 0.004987960096319229, 0.0009459924320605435]	152	153
hsa-miR-342	SOX6	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3276595744680851, 0.6194528875379939, 0.04539007092198582, 0.004761904761904762, 0.002735562310030395]	94	105
hsa-miR-204	MUC4	miRTarBase;miRWalk	1	train	[0.3501573108130485, 0.6050670640834576, 0.03954297069051167, 0.00374234144725948, 0.0014903129657228018]	165	183
hsa-miR-10b	PDCD4	miRTarBase	1	train	[0.30894971217551864, 0.6283805799934832, 0.054795264472683826, 0.005810796133376778, 0.0020636472249375474]	93	198
hsa-miR-4262	NRGN	miRTarBase	1	train	[0.5434782608695652, 0.4359903381642512, 0.01932367149758454, 0.0012077294685990338, 0.0]	12	69
hsa-miR-28	OTUB1	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.24206349206349206, 0.6984126984126984, 0.05451127819548872, 0.004177109440267335, 0.000835421888053467]	126	38
hsa-miR-21	PPARA	miRDB;miRTarBase;miRWalk	1	train	[0.33610298804034044, 0.6182844074532299, 0.04132456041690099, 0.0033835714017920746, 0.0009044726877366626]	523	408
hsa-miR-34b	ZFAS1	miRTarBase	1	train	[0.34741225461035097, 0.583283759666865, 0.05874479476502082, 0.008477096966091613, 0.002082093991671624]	82	82
hsa-miR-765	NTRK3	TarBase;miRTarBase;miRWalk	1	train	[0.4146666666666667, 0.501, 0.07333333333333333, 0.009666666666666667, 0.0013333333333333333]	20	150
hsa-miR-340	IL6	miRTarBase	1	train	[0.40502217997465145, 0.5590040135192227, 0.03264681030840726, 0.0026457541191381496, 0.0006812420785804816]	80	2367
hsa-miR-374a	KLF14	miRTarBase	1	train	[0.33179487179487177, 0.598974358974359, 0.06307692307692307, 0.0056410256410256415, 0.0005128205128205128]	50	39
hsa-miR-122	PLD1	miRTarBase	1	train	[0.38181818181818183, 0.5732517482517483, 0.04130244755244755, 0.0026223776223776225, 0.0010052447552447552]	220	104
hsa-miR-125b	PIAS3	miRTarBase	1	train	[0.32559623514397384, 0.6189678551487596, 0.04785833931562575, 0.006141820212171971, 0.0014357501794687725]	199	63
hsa-miR-19a	RAP1B	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.39951724137931033, 0.5605517241379311, 0.03586206896551724, 0.003103448275862069, 0.0009655172413793104]	125	116
hsa-miR-183	ITGB1	TarBase;miRDB;miRTarBase;miRWalk	1	train	[0.3528178243774574, 0.5925731760594146, 0.047138488422892096, 0.005329838357361293, 0.0021406727828746177]	109	210
hsa-miR-181a	SOCS3	TargetScan;miRTarBase;miRWalk	1	train	[0.3468527131782946, 0.6030511627906977, 0.04416744186046512, 0.004564341085271318, 0.0013643410852713178]	215	375
hsa-miR-425	PDCD10	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3230550284629981, 0.6254743833017078, 0.04577798861480076, 0.004506641366223909, 0.0011859582542694497]	62	68
hsa-miR-20a	PKNOX1	TargetScan;miRTarBase;miRWalk	1	train	[0.3326104635402548, 0.6032800216860937, 0.057739224722146924, 0.004879371103280022, 0.0014909189482244511]	217	34
hsa-miR-370	KLF7	miRDB;miRTarBase;miRWalk	1	train	[0.3189814814814815, 0.6333333333333333, 0.04351851851851852, 0.001851851851851852, 0.0023148148148148147]	80	27
hsa-miR-7	HOXB3	miRTarBase;miRWalk	1	train	[0.3054364602984051, 0.6365974961413137, 0.04956268221574344, 0.006345395300977534, 0.0020579660435602813]	119	49
hsa-miR-21	SPRED1	miRTarBase	1	train	[0.34591547438517833, 0.6170963275532406, 0.034515724929122436, 0.0022087426649963736, 0.0002637304674622536]	523	58
hsa-miR-28	N4BP1	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.3776455026455027, 0.5866402116402116, 0.027116402116402115, 0.007275132275132275, 0.0013227513227513227]	126	12
hsa-miR-200c	FHOD1	TarBase;TargetScan;miRWalk	1	train	[0.2537878787878788, 0.6672077922077922, 0.06764069264069264, 0.0091991341991342, 0.0021645021645021645]	154	12
hsa-miR-134	CCND1	miRDB;miRTarBase;miRWalk	1	train	[0.35085920803433357, 0.5965631678626657, 0.04795579726512953, 0.003735687105798134, 0.0008861397320730457]	67	859
hsa-miR-125b	DKK3	miRTarBase;miRWalk	1	train	[0.3106122007888907, 0.6336791484303237, 0.04868428162316961, 0.005484411303830983, 0.0015399578537850544]	199	186
hsa-miR-299	TGIF1	TargetScan;miRDB;miRTarBase	1	train	[0.4670967741935484, 0.5093548387096775, 0.02032258064516129, 0.001935483870967742, 0.0012903225806451613]	31	100
hsa-miR-15a	TSPYL2	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3504105090311987, 0.6018609742747674, 0.042036124794745486, 0.004707170224411604, 0.0009852216748768472]	145	63
hsa-miR-106b	IRF1	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.34276264591439687, 0.6043968871595331, 0.04673151750972763, 0.004591439688715953, 0.001517509727626459]	100	257
hsa-miR-145	MYO5A	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3838301716350497, 0.5790424570912376, 0.03459801264679314, 0.002168021680216802, 0.0003613369467028004]	270	82
hsa-miR-107	VEGFA	miRTarBase;miRWalk	1	train	[0.3767208305122997, 0.5830825747887359, 0.03648536823892274, 0.003052985280473432, 0.0006582411795681938]	84	1899
hsa-miR-96	MTSS1	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.33202202989771834, 0.6022816679779701, 0.05638604773144506, 0.007212168895882508, 0.002098085496984002]	93	82
hsa-miR-499a	TAB3	TarBase;miRDB;miRWalk	1	train	[0.2874220374220374, 0.6543659043659044, 0.05041580041580042, 0.006756756756756757, 0.0010395010395010396]	52	37
hsa-miR-23b	KLF3	TarBase;TargetScan	1	train	[0.30965227817745805, 0.6366906474820144, 0.047961630695443645, 0.005095923261390888, 0.0005995203836930455]	139	24
hsa-miR-7978	ZNF704	miRDB;miRTarBase;miRWalk	1	train	[0.4, 0.6, 0.0, 0.0, 0.0]	1	10
hsa-miR-187	SATB2	miRTarBase	1	train	[0.41192179303767285, 0.5525035765379113, 0.031092036242250834, 0.0035288507391511683, 0.0009537434430138292]	45	233
hsa-miR-210	FOXN3	TarBase;miRTarBase;miRWalk	1	train	[0.3927197802197802, 0.5603021978021978, 0.04368131868131868, 0.0026098901098901097, 0.0006868131868131869]	182	40
hsa-miR-122	BCL9	miRTarBase	1	train	[0.39262899262899265, 0.5723587223587223, 0.030773955773955773, 0.0033783783783783786, 0.0008599508599508599]	220	74
hsa-miR-18a	PHLPP1	miRTarBase	1	train	[0.31614289551437014, 0.6106634434595756, 0.06325543916196616, 0.007252215954875101, 0.0026860059092130005]	102	73
hsa-miR-1307	TRAF3	miRTarBase;miRWalk	1	train	[0.4106312292358804, 0.5508305647840531, 0.03322259136212625, 0.003986710963455149, 0.00132890365448505]	35	129
hsa-miR-544a	E2F5	TargetScan;miRTarBase	1	train	[0.3333333333333333, 0.5949820788530465, 0.05734767025089606, 0.014336917562724014, 0.0]	9	31
hsa-miR-139	TPD52	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.30234861346915676, 0.6297396717600453, 0.05871533672891907, 0.006791171477079796, 0.0024052065647990947]	93	76
hsa-miR-432	PDGFB	miRDB;miRTarBase;miRWalk	1	train	[0.4333940628014146, 0.5248097738720394, 0.03675918979744936, 0.0036437680848783625, 0.0013932054442181974]	31	301
hsa-miR-1296	SP1	miRTarBase;miRWalk	1	train	[0.36044657097288674, 0.567384370015949, 0.05701754385964912, 0.011164274322169059, 0.003987240829346092]	12	209
hsa-miR-137	TRIM13	miRTarBase;miRWalk	1	train	[0.37383061383061383, 0.583030303030303, 0.039316239316239315, 0.0028904428904428904, 0.0009324009324009324]	117	275
hsa-miR-132	RB1	TarBase;TargetScan;miRDB;miRTarBase	1	train	[0.35967130214917825, 0.6004865341148526, 0.03581963758954909, 0.003179711144312914, 0.0008428150021070375]	154	339
hsa-miR-212	MYC	miRTarBase;miRWalk	1	train	[0.40107684641789393, 0.5535793378363415, 0.04011183700586868, 0.0042492525744657296, 0.000982726165430185]	88	821
hsa-miR-137	CDC42	TargetScan;miRTarBase;miRWalk	1	train	[0.36307796858255575, 0.5938994746334196, 0.03891894717582791, 0.0030581039755351682, 0.001045505632661596]	117	327
hsa-miR-26b	CD38	TargetScan;miRTarBase;miRWalk	1	train	[0.4013643992066433, 0.5622806826355136, 0.032889431355027136, 0.002615461737974325, 0.0008500250648416556]	97	473
hsa-miR-122	SLC7A11	TarBase;miRTarBase;miRWalk	1	train	[0.3116792929292929, 0.6353535353535353, 0.04621212121212121, 0.005871212121212121, 0.0008838383838383839]	220	72
hsa-miR-137	GLIPR1	miRDB;miRTarBase	1	train	[0.2952279202279202, 0.6474358974358975, 0.05128205128205128, 0.004273504273504274, 0.0017806267806267807]	117	48
hsa-miR-27b	NR2F2	TargetScan;miRTarBase	1	train	[0.3669654289372599, 0.5890524967989756, 0.037708066581306016, 0.005505761843790013, 0.0007682458386683739]	142	110
hsa-miR-27b	RUNX1	TargetScan;miRTarBase;miRWalk	1	train	[0.33568644878982634, 0.6215472446328456, 0.03900587993983318, 0.002974155613291399, 0.0007862710242034733]	142	412
hsa-miR-7	RAPGEF3	miRDB;miRTarBase	1	train	[0.3062558356676004, 0.6328834564128681, 0.054239877769289534, 0.005092946269416858, 0.0015278838808250573]	119	99
hsa-miR-506	ROCK1	TargetScan;miRDB;miRTarBase	1	train	[0.3343348155269799, 0.5993270039658695, 0.056844129311380845, 0.006489604614829949, 0.003004446580939791]	53	157
hsa-miR-374b	HK2	miRTarBase	1	train	[0.2889097744360902, 0.6293233082706767, 0.06898496240601504, 0.009774436090225564, 0.0030075187969924814]	35	152
hsa-miR-15a	WEE1	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3500594530321046, 0.5990487514863257, 0.043460166468489894, 0.005766944114149822, 0.0016646848989298453]	145	116
hsa-miR-1270	WT1	miRTarBase	1	train	[0.32645739910313903, 0.6122571001494769, 0.054260089686098655, 0.005680119581464873, 0.0013452914798206279]	15	446
hsa-miR-152	CSF1	TargetScan;miRDB;miRTarBase	1	train	[0.3066672944721725, 0.6374423203691496, 0.048733402391938976, 0.00508522459741972, 0.002071758169319145]	82	259
hsa-miR-29b-1	RUNX1	miRTarBase;miRWalk	1	train	[0.3274757281553398, 0.6231067961165049, 0.04533980582524272, 0.003009708737864078, 0.0010679611650485437]	25	412
hsa-miR-21	SOX5	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.39855959209687697, 0.5717909496494582, 0.027138304652644996, 0.0020395156150414275, 0.00047163798597833013]	523	150
hsa-miR-124	E2F1	TarBase	1	train	[0.34962277091906724, 0.6016935739157961, 0.04327582568323309, 0.004194365305476417, 0.0012134641764271394]	234	324
hsa-miR-200c	ROCK2	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.324337999662675, 0.6200033732501264, 0.04954461123292292, 0.004469556417608366, 0.0016444594366672289]	154	154
hsa-miR-155	NFKB1	miRTarBase	1	train	[0.3745778161190823, 0.5864307048741383, 0.035186737525737956, 0.0028810234958046113, 0.0009237179852367892]	446	551
hsa-let-7a	KCNQ1OT1	miRTarBase	1	train	[0.35642936419850957, 0.5962686961577084, 0.04159399608900164, 0.004122403678452513, 0.0015855398763278896]	119	159
hsa-miR-18a	NR1I2	miRTarBase;miRWalk	1	train	[0.32465410406586875, 0.6205755029284441, 0.04952890247007894, 0.0037136066547831252, 0.0015278838808250573]	102	462
hsa-miR-7	KEAP1	miRTarBase	1	train	[0.29934045331279924, 0.6375506377849944, 0.05735043021192541, 0.00418494090863437, 0.0015735377816465232]	119	251
hsa-miR-5191	RPS6KB1	miRTarBase;miRWalk	1	train	[0.4536489151873767, 0.5108481262327417, 0.03353057199211045, 0.0019723865877712033, 0.0]	3	169
hsa-miR-505	HK2	miRTarBase;miRWalk	1	train	[0.34930098684210525, 0.5869654605263158, 0.053248355263157895, 0.0078125, 0.0026726973684210527]	32	152
hsa-miR-34a	NOTCH2	TargetScan;miRDB;miRTarBase	1	train	[0.38753309643255296, 0.5752159977703456, 0.03325320512820513, 0.003152870680044593, 0.000844829988851728]	299	384
hsa-miR-34c	VEZT	miRTarBase	1	train	[0.226, 0.684, 0.082, 0.007, 0.001]	100	10
hsa-miR-429	SP1	TarBase;TargetScan	1	train	[0.3458328697006788, 0.5963614109268944, 0.04973851118281963, 0.005953043284744631, 0.0021141649048625794]	86	209
hsa-miR-142	PIK3CA	TargetScan;miRTarBase;miRWalk	1	train	[0.3841574485518893, 0.5830544262708393, 0.02986669187860452, 0.002224953515489584, 0.0006964797831773345]	210	1511
hsa-miR-7	HOXB5	miRTarBase	1	train	[0.3148329099081493, 0.6277115497361735, 0.047879616963064295, 0.0070353722884502635, 0.0025405511041625955]	119	43
hsa-miR-370	HCG18	miRTarBase	1	train	[0.34629629629629627, 0.6083333333333333, 0.03657407407407407, 0.004629629629629629, 0.004166666666666667]	80	27
hsa-miR-210	NDUFA4	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.4367461806486197, 0.5294827124095417, 0.031626909675690165, 0.001876172607879925, 0.0002680246582685607]	182	41
hsa-miR-517a	PTK2B	miRDB;miRTarBase	1	train	[0.3500522466039707, 0.5917798676419366, 0.051898293277603626, 0.004876349703935911, 0.0013932427725531174]	9	319
hsa-let-7e	MMP9	miRTarBase;miRWalk	1	train	[0.36616305160807777, 0.5889154824233358, 0.04161555721765146, 0.0025430067314884067, 0.0007629020194465221]	50	1337
hsa-let-7g	COL1A2	TargetScan;miRDB;miRTarBase	1	train	[0.4315293152931529, 0.5373787071204046, 0.027948612819461528, 0.0025966926335930026, 0.0005466721333880005]	54	271
hsa-miR-663a	CDK1	TarBase;miRTarBase	1	train	[0.3900639449090015, 0.5413182488932612, 0.05632070831283817, 0.009591736350221348, 0.0027053615346778162]	19	214
hsa-miR-197	FOXJ2	miRDB;miRTarBase;miRWalk	1	train	[0.33766233766233766, 0.612987012987013, 0.04069264069264069, 0.007792207792207792, 0.0008658008658008658]	77	15
hsa-miR-200c	AR	miRTarBase;miRWalk	1	train	[0.33083427111530156, 0.6263116274825876, 0.03931080628972901, 0.0028285531798412362, 0.0007147419325405274]	154	854
hsa-miR-27a	SMAD2	TargetScan;miRTarBase;miRWalk	1	train	[0.3185587960674466, 0.6255835667600373, 0.050163856392230095, 0.004393914428516505, 0.001299866351769466]	189	289
hsa-miR-100	FLT1	miRTarBase;miRWalk	1	train	[0.30318887578616355, 0.636473073899371, 0.05412244496855346, 0.004815251572327044, 0.0014003537735849056]	96	424
hsa-miR-425	BTK	miRTarBase;miRWalk	1	train	[0.3758620689655172, 0.575305895439377, 0.043770856507230255, 0.0038375973303670747, 0.0012235817575083426]	62	290
hsa-miR-155	APAF1	TarBase	1	train	[0.35274470388124324, 0.6060924694603371, 0.03616823875057987, 0.003958558837173342, 0.0010360290706664605]	446	145
hsa-miR-16	PRDM4	TarBase;TargetScan;miRDB;miRTarBase	1	train	[0.33494363929146537, 0.6151368760064412, 0.04911433172302738, 0.0008051529790660225, 0.0]	207	6
hsa-miR-9	MTHFD1	miRTarBase	1	train	[0.36380388653115925, 0.592640160821979, 0.0386977886977887, 0.0037413446504355593, 0.0011168192986374804]	148	121
hsa-miR-138	TXNIP	TarBase;miRWalk	1	train	[0.31350334448160533, 0.6269230769230769, 0.05234113712374582, 0.005016722408026756, 0.0022157190635451506]	115	208
hsa-miR-137	CSE1L	TargetScan;miRDB;miRTarBase	1	train	[0.36070473493786376, 0.5904252530019402, 0.044255676157516646, 0.0036180588327827594, 0.0009962770698967018]	117	163
hsa-miR-520c	CD44	miRDB;miRTarBase;miRWalk	1	train	[0.30880801687763715, 0.6145393811533052, 0.0684774964838256, 0.006417018284106892, 0.0017580872011251757]	16	711
hsa-miR-421	SIRT3	miRTarBase;miRWalk	1	train	[0.3391189427312775, 0.5973568281938326, 0.055418502202643175, 0.005726872246696035, 0.002378854625550661]	50	227
hsa-miR-31	SATB2	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.4436282601518653, 0.5138659623638164, 0.036315615714757346, 0.005117200396170353, 0.001072961373390558]	52	233
hsa-miR-20a	REST	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3675244653860094, 0.5862631388184125, 0.04137109718842231, 0.0038575053073059595, 0.0009837932998498422]	217	178
hsa-miR-125b	KLF13	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3292462311557789, 0.6159798994974874, 0.05055276381909548, 0.002814070351758794, 0.001407035175879397]	199	50
