miRNA	gene	support type	label	split	hist	num_miRNA_disease	num_gene_disease
hsa-miR-17	IPMK	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.2759170653907496, 0.6534518113465482, 0.06539074960127592, 0.003645477329687856, 0.001594896331738437]	231	19
hsa-miR-122	GLS	miRTarBase;miRWalk	1	train	[0.3392542940930038, 0.6165479681608714, 0.04009216589861751, 0.003121072475911186, 0.0009844993715961458]	220	217
hsa-miR-486	DOCK3	TargetScan;miRDB;miRTarBase	1	train	[0.41411764705882353, 0.5572850678733031, 0.026334841628959275, 0.0016289592760180996, 0.0006334841628959276]	130	85
hsa-miR-497	SMURF2	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.26590981771666133, 0.6581387911736488, 0.06204029421170451, 0.010873041253597697, 0.003038055644387592]	106	59
hsa-miR-455	EPAS1	miRTarBase;miRWalk	1	train	[0.3339653646820882, 0.6120591581342435, 0.04639110099860953, 0.005898959255045717, 0.001685416930013062]	81	293
hsa-miR-106b	RB1	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3547197640117994, 0.5982005899705015, 0.041799410029498524, 0.00415929203539823, 0.00112094395280236]	100	339
hsa-miR-183	FOXO1	miRDB;miRTarBase;miRWalk	1	train	[0.3713423466924191, 0.5826412361178175, 0.04094640270400773, 0.003669724770642202, 0.0014002897151134718]	109	380
hsa-miR-20b	MYLIP	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.314822376480196, 0.6146726555056485, 0.06165781951817068, 0.006805498843065197, 0.002041649652919559]	93	79
hsa-miR-429	TCF7L1	TarBase	1	train	[0.3622540250447227, 0.5754323196183662, 0.055456171735241505, 0.006261180679785331, 0.0005963029218843172]	86	39
hsa-miR-24	SP1	TargetScan;miRTarBase;miRWalk	1	train	[0.3140164671022272, 0.6377723265246642, 0.04303791319554077, 0.0036674519709518376, 0.0015058412066159862]	197	209
hsa-miR-29c	RCC2	TargetScan;miRTarBase;miRWalk	1	train	[0.26572769953051645, 0.6544600938967137, 0.07089201877934272, 0.008450704225352112, 0.00046948356807511736]	142	30
hsa-miR-130b	PPARG	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3404761242595322, 0.6102706009956337, 0.044428066857635506, 0.0036571460355424535, 0.0011680618516561449]	82	877
hsa-miR-335	DKK1	miRTarBase	1	train	[0.3735839093701997, 0.5831173195084486, 0.0382344470046083, 0.003720238095238095, 0.0013440860215053765]	112	372
hsa-miR-132	GSK3B	TargetScan;miRTarBase	1	train	[0.36708965334919536, 0.5804500842668782, 0.047090314265886786, 0.003783748058557219, 0.0015862000594825023]	154	393
hsa-let-7b	TLR2	miRTarBase	1	train	[0.35619013053002707, 0.6023824646454172, 0.03813498904688452, 0.00234617029826176, 0.0009462454794094391]	103	749
hsa-miR-223	LPIN2	miRTarBase;miRWalk	1	train	[0.3372533117058665, 0.6212940434351627, 0.03947012706136794, 0.0015319455708750112, 0.00045057222672794447]	274	81
hsa-miR-525	HINT1	TarBase;miRWalk	1	train	[0.43537414965986393, 0.5532879818594104, 0.010430839002267574, 0.00045351473922902497, 0.00045351473922902497]	21	105
hsa-miR-9	PPARA	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3331677265500795, 0.6128775834658188, 0.04842342342342342, 0.0041070482246952835, 0.0014242183359830418]	148	408
hsa-miR-135b	EDN1	TarBase	1	train	[0.3259243697478992, 0.6269117647058824, 0.042752100840336135, 0.0031722689075630254, 0.0012394957983193277]	70	680
hsa-miR-34a	CDK4	TarBase;miRTarBase;miRWalk	1	train	[0.35740381718893616, 0.6005314095483791, 0.03718322043455089, 0.004062811372782253, 0.0008187414553515568]	299	433
hsa-miR-101	TBR1	miRTarBase	1	train	[0.5472868217054263, 0.44484197972570066, 0.007751937984496124, 0.0, 0.00011926058437686345]	129	65
hsa-miR-545	SNAI2	miRDB;miRTarBase	1	train	[0.33015873015873015, 0.581859410430839, 0.07437641723356009, 0.010279667422524565, 0.003325774754346183]	35	189
hsa-miR-9	CD34	miRDB;miRTarBase	1	train	[0.34861456411901515, 0.609110594273799, 0.03811452401956853, 0.0033984281016921965, 0.0007618894859250942]	148	674
hsa-miR-10b	CDKN2A	TarBase;miRTarBase;miRWalk	1	train	[0.3598222615014484, 0.5953748711150391, 0.040498518845845405, 0.0035842293906810036, 0.0007201191469861377]	93	1314
hsa-miR-134	VEGFA	miRTarBase;miRWalk	1	train	[0.32365031084702867, 0.6272822302390103, 0.04529485275046568, 0.0030023657384483583, 0.0007702404250469611]	67	1899
hsa-miR-326	HNRNPA2B1	TargetScan;miRTarBase;miRWalk	1	train	[0.3594636915247602, 0.591407320414954, 0.04266979839498924, 0.0049911920140927775, 0.001467997651203758]	78	131
hsa-miR-296	BBC3	TargetScan;miRTarBase;miRWalk	1	train	[0.357805341378925, 0.5810705106715834, 0.05106715834171416, 0.0073751257123700975, 0.0026818638954073082]	57	157
hsa-miR-770	MAP3K1	miRDB;miRTarBase	1	train	[0.2749183006535948, 0.6621732026143791, 0.053513071895424834, 0.006944444444444444, 0.0024509803921568627]	18	136
hsa-miR-223	CHUK	TarBase;TargetScan;miRTarBase	1	train	[0.33833576642335766, 0.6198540145985402, 0.03687591240875913, 0.004, 0.0009343065693430657]	274	125
hsa-miR-31	SRC	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.35319303338171265, 0.5831640058055152, 0.05587808417997097, 0.005805515239477504, 0.0019593613933236577]	52	265
hsa-miR-34a	CCNE2	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.30457457060257354, 0.6338076072784989, 0.053568391814522984, 0.006348846437276798, 0.001700583867127714]	299	59
hsa-miR-140	RAB25	miRTarBase	1	train	[0.29977656405163855, 0.6362959285004965, 0.053872889771598806, 0.00868917576961271, 0.001365441906653426]	152	53
hsa-miR-199a	FUT4	miRTarBase;miRWalk	1	train	[0.35717629748528623, 0.5973113964686998, 0.04063001605136437, 0.003678437667201712, 0.001203852327447833]	178	168
hsa-miR-146b	BAG1	TargetScan;miRTarBase;miRWalk	1	train	[0.33374763257575757, 0.6138731060606061, 0.04616477272727273, 0.004971590909090909, 0.0012428977272727273]	132	128
hsa-miR-21	TGIF1	miRTarBase;miRWalk	1	train	[0.41237093690248566, 0.5625047801147227, 0.023326959847036328, 0.0013957934990439771, 0.00040152963671128105]	523	100
hsa-miR-145	TPT1	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3435897435897436, 0.6081585081585081, 0.04364154364154364, 0.003651903651903652, 0.0009583009583009583]	270	143
hsa-miR-153	BCL2	TargetScan;miRTarBase	1	train	[0.3840877110694184, 0.5707920128651836, 0.040873760385955506, 0.003517823639774859, 0.0007286920396676495]	82	1456
